ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,
101041,6.54E-10,1.27E-07,0.179843111,0.003383705,0.002617794,
100377,0,0,0.377664883,0,0,
101630,0,0,0,0,0,
100151,0,0,0.002391682,0,0,
101512,0,0,5.66E-15,0,0,
101465,0,0,0.001732262,1.01E-08,3.60E-11,
101082,0,0,0.309553575,0,0,
101313,0,0,0,0,0,
101712,0,0,0.161033841,0.207361061,0.065874195,
100616,0,0,0,0,0,
100437,0,0,0.034835858,0,0,
100313,0,0,0.14071099,0,0,
100371,0,0,0.000911706,0,0,
101187,0,0,0.592699393,0,0,
101593,0,0,0,0,0,
100665,0,0,0.011969072,0,0,
101152,0,0,0.846883427,0.002591431,2.39E-05,
100425,0,0,0.002691768,1.11E-16,0,
101493,0,0,0,0,0,
100010,0,0,0.020786031,0,0,
100756,0,0,5.21E-08,0,0,
100303,0,0,3.33E-16,0,0,
101585,0,0,0.011343186,0,0,
100087,0,0,0.43228394,0,0,
100380,0,0,0,0,0,
101320,0,0,0,0,0,
100908,0,0,0.000303191,0,0,
101283,0,0,0,0,0,
101108,0,0,0,0,0,
100586,0,0,0.123459572,1.40E-05,1.35E-07,
100444,0,0,0.00104747,0,0,
100375,0.359659865,2.77E-08,0.544556086,0.005127719,0.003637423,
100854,0,0,0.098643536,0,0,
101611,0.003706961,4.24E-12,0.295236966,0.017295269,0.002076776,
100635,0,0,0,0,0,
100597,0,0,0.002042314,0,0,
100198,0,0,2.25E-06,0,0,
101391,0,0,0,0,0,
100658,0,0,4.77E-09,0,0,
101383,0,0,0.138331408,3.59E-05,2.27E-06,
100507,0,0,0,0,0,
101678,0,0,1.31E-06,0,0,
101156,0,0,0.29948747,6.67E-06,1.71E-08,
101638,0,0,0,0,0,
100340,0,0,0.014777655,0,0,
101647,0,0,0.596313916,0,0,
100310,4.29E-09,0,0.148230495,0.002844737,9.26E-05,
100504,0,0,0,0,0,
100391,0,0,0.377053753,0.000120939,1.34E-07,
101408,0,0,0.135146303,0,0,
100498,0,0,0.305349758,0,0,
100731,2.83E-08,0,0.005169485,4.67E-05,8.21E-08,
100033,0,0,0,0,0,
101207,0,0,1.81E-05,0,0,
101443,0,0,0.073102278,0,0,
101532,0,0,0,0,0,
101597,0,0,0,0,0,
101533,0,0,0,0,0,
101556,0,0,0.371423281,0.000627096,2.02E-06,
100840,2.66E-15,0,0.23722089,2.08E-05,1.64E-08,
100549,0,0,0.072831255,0.000559233,0.000162258,
101645,0,0,0.003243873,0,0,
100320,3.15E-13,0,0.794174242,0.025936854,0.001484178,
101301,3.12E-14,0,0.125062424,1.11E-16,0,
100839,0,0,1.25E-13,0,0,
101470,0,0,0.141688518,4.96E-06,6.76E-10,
100503,0,0,0.025316779,2.03E-05,5.94E-09,
101294,2.27E-07,0,0.577912655,0.025452513,0.001514649,
101389,5.88E-15,0,0.487866905,2.06E-08,1.44E-12,
100912,0,0,0.556809082,1.29E-05,1.07E-08,
100287,0,0,0.037052783,0,0,
101522,0,0,8.63E-10,0,0,
101396,0,0,0.254318059,0.006918428,0.000248856,
101151,1.48E-05,1.70E-10,0.771063666,0.038622042,0.004906046,
100023,0,0,0,0,0,
101135,0,0,0,0,0,
101711,0,0,0,0,0,
101526,0,0,4.43E-06,0,0,
101754,0,0,0.118125451,0,0,
100998,0,0,0,0,0,
100247,0,0,0.043473728,0,0,
100726,0,0,0.113557593,5.95E-06,2.83E-10,
100556,0,0,0,0,0,
100623,0,0,3.33E-06,0,0,
100793,0,0,0.000156841,0,0,
101714,0,0,3.21E-12,0,0,
100093,0,0,0.037732747,2.95E-10,2.22E-16,
100378,0,0,0.185169415,0,0,
101224,0,0,4.44E-16,0,0,
100299,0,0,0.209518041,0,0,
100909,0,0,8.14E-07,1.11E-15,0,
101044,0,0,5.06E-07,0,0,
100511,0,0,0.042290437,0,0,
100795,0,0,0.93718342,0,0,
