ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,GMM
100450,0,0,0.000332525,0,0,0.025425134
100066,0,0,0.01725075,0,0,0.063087469
100533,1.81E-09,0,0.112282321,3.45E-05,1.57E-08,0.483212557
100389,1.13E-08,1.95E-05,8.72E-05,1.91E-06,1.80E-06,1.28E-05
100050,0,0,0,0,0,0.847253559
101454,0,0,0.017212881,0,0,0.900684139
101160,0,0,0,0,0,0.15466798
101670,0,0,2.28E-07,0,0,0.073923538
101685,0,0,0,0,0,0.274598552
101337,0,0,0,0,0,0.698285209
100728,0,0,0.299277029,0,0,0.465594977
100538,0,0,0.008853608,0,0,0.204680954
101346,0,0,0.459269836,0.0020273,3.13E-06,0.307451798
101458,0,0,9.51E-10,0,0,0.746886875
101787,0,0,0.004117839,0,0,0.211227809
101628,0,0,0.741955958,0.000217984,9.83E-07,0.321274908
101017,0,0,0.253422721,1.17E-14,0,0.060351533
100307,0,0,0,0,0,0.000471757
101366,0,0,0.128859464,0.005671933,0.000409996,0.090458827
100810,0,0,0.002258362,0,0,0.268011292
100082,0,0,5.99E-11,0,0,0.098953574
101392,0,0,0.77152328,2.93E-11,0,0.935864383
100127,0,0,1.23E-06,0,0,0.393727724
101149,0,0,0.002950718,0,0,0.220700695
100966,0,0,0.182841352,4.63E-05,9.62E-08,0.051407466
101298,0,0,0.642888554,0,0,0.903656135
100617,0,0,0,0,0,1.35E-12
100732,0,0,0.29762342,3.33E-16,0,0.797079607
101363,0,0,1.32E-07,0,0,0.228381818
100683,0,0,0,0,0,0.106023804
101456,0,0,0,0,0,0.202751175
100435,0,0,0,0,0,0.261661153
100774,6.18E-10,0,0,0,0,0.201045115
100432,0,0,0,0,0,0.055540076
100961,0,0,4.62E-11,0,0,0.206240321
101736,1.61E-12,0,1.18E-13,1.09E-11,2.22E-16,0.071600697
100107,0,0,0.034391936,6.77E-10,3.33E-16,0.144191271
101735,0,0,0,0,0,0
100917,0,0,0.431757042,0,0,0.722153046
100995,0,0,0,0,0,0.245657403
101487,0,0,0.101885636,0,0,0.055874957
100673,0,0,0.276326552,0,0,0.541663686
100937,0,0,4.80E-10,0,0,0.189120757
101335,0,0,0.658516397,0,0,0.905878054
100294,0,0,0,0,0,0
100055,0,0,0.006322045,0,0,0.476870525
100895,0,0,0,0,0,0.003361325
100569,0,0,0.650532227,0,0,0.057649593
100591,0,0,0.007776493,0,0,0.39072781
100110,0,0,0,0,0,0.103672151
101005,0,0,0.168787285,0,0,0.628730585
101061,0,0,0.155675951,0,0,0.892189215
100056,0,0,0,0,0,0
100671,0,0,0,0,0,0.000437357
101078,0,0,0.298787602,9.02E-08,4.37E-11,0.080530952
101218,0,0,0.000381107,0,0,0.628597341
101334,0,0,0,0,0,9.71E-08
100210,0,0,6.84E-07,0,0,0.044199998
101534,0,0,3.67E-08,0,0,0.028850989
101281,0,0,0,0,0,0
101539,0,0,0,0,0,0
100711,0,0,7.22E-15,0,0,0.154216743
101462,0,0,0.511292578,0,0,0.288123854
101569,2.23E-12,0,0.827556859,0.015736204,0.000352876,0.413364098
100509,0,0,0,0,0,0.005352687
100816,0,0,0.019920138,0,0,0.155916889
101351,0,0,0.190741318,0.012044003,0.000695005,0.498436094
100933,0,0,0,0,0,0.478120973
101345,0,0,0.537823835,0,0,0.49823976
101365,0,0,0,0,0,0.100882045
101580,0,0,0.636570023,1.24E-07,7.95E-12,0.682777864
100923,0,0,0.90624215,0,0,0.984638785
100662,0,0,0.823901966,0,0,0.81678674
100032,0,0,0.031317411,0,0,0.127424019
100694,8.88E-16,0,0.05438563,1.78E-15,0,0.81102394
101724,0,0,0,0,0,0.211781985
100477,0,0,0,0,0,8.55E-07
101042,0,0,0.044047851,0,0,0.583163296
100295,0,0,0,0,0,0
101662,0,0,0.278793485,1.61E-10,1.62E-14,0.986062339
101001,0,0,0.551364656,0,0,0.884238921
101492,0,0,0,0,0,0
100967,1.97E-12,0,0.002959836,0.001609369,4.85E-05,0.100559091
101657,0,0,0,0,0,0
100924,0,0,1.10E-13,0,0,0.010397123
101596,5.47E-13,0,0.318649804,7.74E-06,3.94E-08,0.266545333
100690,0,0,0.04381504,0.002662084,3.37E-05,0.046313814
100781,0,0,0,0,0,0.417815287
101658,0,0,6.19E-05,0,0,0.176449537
101721,0,0,0,0,0,0.147627424
101359,0,0,0,0,0,1.22E-06
100863,0,0,0.002548262,1.59E-14,1.11E-16,0.052714351
